site_name,longitude,latitude,blog_path,description,period,dating_method
Brae of Muckquoy,-3.0890864,59.039037,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Skara Brae,-3.3417179,59.048748,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Ha'Breck,-2.9843044,59.116483,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Knowe of Lairo,-3.0516882,59.134203,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Green,-2.7550831,59.144691,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Knowe of Rowiegar,-3.0973358,59.150153,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Midhowe,-3.0994601,59.156422,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Quoyness,-2.5683475,59.225478,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Pool,-2.6685654,59.22554,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Tofts Ness,-2.4284619,59.303333,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Point of Cott,-2.94197,59.311048,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Pierowall Quarry,-2.9876663,59.324091,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Links of Noltland,-3.0068817,59.326189,https://historicengland.org.uk/research/results/reports/39-2016,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Knap of Howar,-2.9108508,59.349347,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Holm of Papa Westray North,-2.8733368,59.353914,https://doi.org/10.15184/aqy.2017.140,"Orkney is internationally recognised for its exceptionally well-preserved Neolithic archaeology. The chronology of the Orcadian Neolithic is, however, relatively poorly defined. The authors analysed a large body of radiocarbon and luminescence dates, formally modelled in a Bayesian framework, to address the timescape of Orkney's Late Neolithic.",Neolithic,Radiocarbon
Garthee Road ,-2.1287922,57.119673,/blog/lismullin/index.html,Excavation on a gravel ridge beside the River Dee in Aberdeen revealed a small ovoid building of early Neolithic date. ,Neolithic,Radiocarbon
Must Farm,-0.1789148,52.555652,/blog/lismullin/index.html,The Must Farm pile-dwelling site is an extraordinarily well-preserved Late Bronze Age settlement in Cambridgeshire built over a freshwater palaeochannel that was destroyed by a catastrophic fire shortly after its construction. Predating the settlement was a double-alignment of massive oak piles. ,Bronze Age,Radiocarbon
Tranmer House,1.3410432,52.095094,https://eaareports.org.uk/publication/report155/,"In 2000, an Anglo-Saxon cemetery was found at Sutton Hoo, 500m north of the famous East Anglian burial-ground of kings.",Anglo-Saxon,Radiocarbon
Medmerry,-0.81922681,50.741788,https://historicengland.org.uk/research/results/reports/56-2023,"The results from excavations by Archaeology South-East and intertidal recording by the Chichester and District Archaeology Society have defined a large intertidal fish trap, at least 225m long probably constructed in the first quarter of the 15th century",Medieval,Radiocarbon
"Wor Barrow, Cranborne Chase",-1.983733,50.954976,https://historicengland.org.uk/research/results/reports/9-2016,"This report examines the chronology; human remains, mortuary processes and development of the barrow in the Neolithic period",Neolithic,Radiocarbon
"The Ship Inn, Exeter",-3.5302486,50.723572,https://historicengland.org.uk/research/results/reports/10-2021,"A programme of dendrochronology undertaken on timbers at the Ship Inn proved unsuccessful. Wiggle-matching of two samples submitted for radiocarbon dating; however, suggests that a ceiling joist was probably felled in the mid 14th to mid 15th centuries",Medieval,Dendrochronology
"Church of St Michael, Church Street",-1.5354231,52.685432,https://historicengland.org.uk/research/results/reports/13-2013,"Dendrochronological analysis undertaken on five oak samples from a wooden ladder in the tower of St Michael's Church; produced a single dated site chronology, comprising two samples, spanning the years AD 1461-1580",Medieval,Dendrochronology
"Belsay Castle, Belsay",-1.8685942,55.101296,https://historicengland.org.uk/research/results/reports/13-2018,When tree-ring analysis of samples taken from the various parts of the castle resulted in the construction of a site sequence that could not be conclusively dated through dendrochronology alone; dating was obtained by radiocarbon wiggle-match comparison,Medieval,Dendrochronology
"Brunel Court, Preston",-2.7084709,53.760118,https://historicengland.org.uk/research/results/reports/18-2015,This report contains details of the radiocarbon determinations obtained on samples from Brunel Court; providing an outline chronological framework for the site,Medieval,Radiocarbon
"91 High Street, St Mary Cray",0.11467534,51.392818,https://historicengland.org.uk/research/results/reports/21-2017,Radiocarbon dating and wigglematch analysis was undertaken on a series of cores taken from oak and elm timbers associated with the primary construction phase,Medieval,Dendrochronology
"The Guildhouse, 19-21 Ladygate",-0.43217662,53.843471,https://historicengland.org.uk/research/results/reports/223-2020,Tree-ring analysis undertaken on samples taken from the roof and a first-floor frame of 19-21 Ladygate; resulted in the construction of two site sequences. That from the roof and the floor frame spans the period AD 1194-1330. The second remains,Medieval,Dendrochronology
"Groundwell Ridge, Swindon",-1.7980993,51.602816,https://historicengland.org.uk/research/results/reports/24-2012,"A programme of radiocarbon dating and chronological modelling undertaken in 2008-10 on material recovered from excavations centred around Building 2 indicate that it was occupied throughout most; if not all, of the Roman period",Roman,Radiocarbon
"Grime's Graves, Weeting-with-Broomhill",0.67478264,52.475689,https://historicengland.org.uk/research/results/reports/27-2014,This report contains details of all the radiocarbon determinations obtained on samples dated from Grime's Graves up to the end of 2012. A series of chronological models is presented; providing a more precise chronology for the site.,Neolithic,Radiocarbon
"Headstone Manor, Pinner View",-0.3542456,51.594648,https://historicengland.org.uk/research/results/reports/38-2022,"Radiocarbon wiggle-matching of an undated ring-width site chronology; from Headstone Manor, Pinner View, Harrow, London suggests its timbers are likely to represent two phases of felling with one in the early and the other the mid 17th century",Medieval,Dendrochronology
"Southall Manor House, The Green",-0.38100021,51.502355,https://historicengland.org.uk/research/results/reports/39-2022,Radiocarbon wiggle-matching of three undated ring-width site chronologies from Southall Manor House; suggests that although precise dating has not been achieved it contains a significant amount of timber felled in the first half of the 17th century,Medieval,Dendrochronology
"Deal Castle, Victoria Street",1.4035505,51.219425,https://historicengland.org.uk/research/results/reports/40-2022,Independent validation of tentative tree-ring dating for a previously undated site chronology from Deal Castle has been obtained by radiocarbon wiggle-matching and it can now be considered as its timbers having an felling date in the range AD 1530-1555,Medieval,Dendrochronology
The Maison Dieu Museum,0.87348178,51.311524,https://historicengland.org.uk/research/results/reports/41-2022,Radiocarbon wiggle-matching of timbers in the previously undated ring-width site chronology for The Maison Dieu Museum suggests they were all felled in a single phase in cal AD 1457-1468 (95% probability); probably in cal AD 1460-1465 (68% probabilit,Medieval,Dendrochronology
"Trerithick, Polyphant",-4.4777336,50.612495,https://historicengland.org.uk/research/results/reports/54-2022,Independent validation of tree-ring dating for a group of previously undated samples from the west range roof has been obtained by radiocarbon wiggle-matching and it can now be considered as a radiocarbon-supported dendrochronological date AD 1557-1726,Medieval,Dendrochronology
"Church Of St Peter, West Liss",-0.90208979,51.052298,https://historicengland.org.uk/research/results/reports/69-2015,Various parts of the church were subject to tree-ring dating; some also underwent radiocarbon analysis. While the nave timbers were dendrochronologically dated to 1581-1616; roof timbers were dated by radiocarbon wiggle-matching to the early 14th century,Medieval,Dendrochronology
Bouldnor Cliff,-1.4619525,50.715885,https://historicengland.org.uk/research/results/reports/73-2015,"Analysis of all samples taken from Bouldnor Cliff between 2000-5 has led to the construction of two site means; Bouldnor_T11 and Bouldnor_T3. Wiggle-match radiocarbon dating of a timber, part of Bouldnor_T11 estimates this site mean dates from 6275-",Mesolithic,Radiocarbon
"St Nicholas Church, Newcastle upon Tyne",-1.6112188,54.970061,https://historicengland.org.uk/research/results/reports/77-2018,Radiocarbon dating and wiggle-matching has conclusively shown that the timbers of the St Margaret's Chapel roof are not medieval in date but probably early nineteenth century,Medieval,Dendrochronology
"Beckfoot Roman Cemetery, Beckfoot",-3.4216707,54.824622,https://historicengland.org.uk/research/results/reports/78-2015,A report on the radiocarbon dating of cremated human bone and charcoal from an archaeological evaluation conducted in 2006 at the site of the Roman cemetery at Beckfoot; Cumbria,Roman,Radiocarbon
"Castle Street, Carlisle",0.53829925,51.779239,https://historicengland.org.uk/research/results/reports/78-2017,Assessment undertaken on sweet chestnut nut fragments from two Romano-British sites;,Modern,Radiocarbon
Great Holts Farm,-2.9401549,54.89509,https://historicengland.org.uk/research/results/reports/78-2017,Assessment undertaken on sweet chestnut nut fragments from two Romano-British sites; including attempted dating and DNA analysis,Roman,Radiocarbon
"15 Flemingate, Beverley",-0.4228184,53.839294,https://historicengland.org.uk/research/results/reports/83-2019,"No tree-ring samples could be securely. One; however, cross-matched with an undated site master chronology from The Guildhall in Beverley and this was subsequently dated by a combination of dendrochronology and radiocarbon analysis to AD 1245-AD 144",Medieval,Dendrochronology
"The Guildhall, Beverley",-0.43010264,53.841215,https://historicengland.org.uk/research/results/reports/84-2019,"Although none of the samples taken from The Guildhall ;neither the four site sequences, nor any of the ungrouped individual series, could be securely dated using tree-ring analysis, cross-matching produced a combined sequence dated to AD 1245-1441",Medieval,Dendrochronology
"Monks Walk, Beverley",-0.42569465,53.840411,https://historicengland.org.uk/research/results/reports/22-2023,Independent validation of tentative tree-ring dating for a previously undated site chronology from Monks Walk has been obtained by radiocarbon wiggle-matching and it can now be considered as a radiocarbon supported date.,Medieval,Dendrochronology
"Church of St Mary, Beverley",-0.43369776,53.844255,https://historicengland.org.uk/research/results/reports/23-2023,Independent validation of tentative tree-ring dating for a previously undated site chronology from the Church of St Mary has been obtained by radiocarbon wiggle-matching and can now be considered as a radiocarbon-supported date.,Medieval,Dendrochronology
"Woodcutts, Iwerne",-2.054058,50.962311,https://historicengland.org.uk/research/results/reports/45-2023,This is a technical archive report on the radiocarbon dating of carbonised plant macrofossils in support of research undertaken by the Historic England Environmental Studies branch at 9 sites and includes details of 32 radiocarbon measurements obtained,Iron Age,Radiocarbon
"Moggs Eye, Anderby Creek",0.31703129,53.274163,https://historicengland.org.uk/research/results/reports/46-2023,"Timbers washed up on the Lincolnshire coast at Moggs Eye, Anderby Creek, East Lindsey and initially thought to be from an early medieval (Viking Age) boat, were found to derive from natural woodland that was growing in the early fourth millennium cal BC.",Neolithic,Radiocarbon
"Dorchester Palisaded Enclosure, Greyhound Yard and Church Street",-2.4354914,50.714396,https://historicengland.org.uk/research/results/reports/3-2024,Radiocarbon dating and chronological modelling of samples from the Dorchester palisaded enclosure.,Neolithic,Radiocarbon
"Point Clear, River Colne",1.0194475,51.797934,https://historicengland.org.uk/research/results/reports/64-2024,Radiocarbon dating and chronological modelling estimates on the four groups of worked wood exposed at Point Clear and surveyed and sampled by CITiZAN and local volunteers suggest that they were constructed in the second half of the sixth century cal AD,Anglo-Saxon,Radiocarbon
"Leicesters Gatehouse, Kenilworth Castle",-1.5913708,52.348487,https://historicengland.org.uk/research/results/reports/70-2023,Radiocarbon wiggle-matching of the previously undated site chronology.,Medieval,Dendrochronology
"Maumbury Rings, Dorchester",-2.4401064,50.708083,https://historicengland.org.uk/research/results/reports/2-2024,"Radiocarbon dating and chronological modelling of samples from Maumbury Rings, Dorchester, Dorset undertaken in support of a PhD funded by the AHRC.",Neolithic,Radiocarbon
The Cedars,1.3886767,52.821162,https://historicengland.org.uk/research/results/reports/78-2023,Dendrochronological analysis undertaken on samples from the rafters could not be securely matched with the reference chronologies so radiocarbon dating was undertaken.,Medieval,Dendrochronology
"Higher Uppacott, Widecombe on the Moor",-3.834137,50.541219,https://historicengland.org.uk/research/results/reports/17-2024,"A tree-ring dating and radiocarbon wiggle-match programme undertaken on oak timbers demonstrated that the only original raised cruck truss from the roof of the longhouse, was constructed from timber felled in either the mid-14th or early 15th centuries",Medieval,"Dendrochronology, Radiocarbon"
"1 and 3 Market Place, Snaith",-1.0284491,53.691602,https://historicengland.org.uk/research/results/reports/27-2024,Dendrochronological analysis undertaken on core samples from six timbers could not be dated by ring-width dendrochronology.,Medieval,Dendrochronology
Versend-Gilencsa,18.50809039,45.99863438,https://doi.org/10.15184/aqy.2017.218,"Excavations at Versend-Gilencsa in south-west Hungary (c. 5200 cal BC) revealed clear rows of longhouses. New radiocarbon dates suggest that these houses experienced short lifespans. This paper produces a model for the chronology of Versend, and it considers the implications of the new date estimates for a fuller understanding of the layout and duration of LBK longhouse settlements",Neolithic,Radiocarbon
Avelines Hole,-2.753248,51.324706,https://ubss.org.uk/publications/proceedings/v23/s3/p171-265/,The reanalysis of the fragmentary human skeletal assemblage from Avelines Hole,Mesolithic,Radiocarbon
West Amesbury Farm,-1.809554,51.175372,https://doi.org/10.1080/00665983.2020.1758495,"Excavations on the south-eastern slopes of King Barrow Ridge, 1.5 km east of Stonehenge, revealed five pits, a grave and other features of Middle Neolithic date. Analysis of the pit assemblages and the partial inhumation interred in the grave has provided insights into lifeways in this landscape in the late fourth millennium cal BC.",Neolithic,Radiocarbon
"Abingdon, Spring Road Cemetery",-1.296397,51.674612,https://eprints.oxfordarchaeology.com/143/,,Multi-period,Radiocarbon
Alverstone,-1.184943,50.666391,https://historicengland.org.uk/research/results/reports/59-2023,A flood relief pond in the Eastern Yar valley was excavated within the Alverstone Marshes SSSI in  2005. During the works a cobbled surface and a quantity of well-preserved timber posts and horizontals were uncovered. A twelve-week excavation was undertaken resulting in the recording of possible causeway structures found buried within peat and alluvial silts and sands.,Anglo-Saxon,"Dendrochronology, Radiocarbon"
Barrow Clump,-1.764404,51.221059,https://wessexarchaeologylibrary.org/plugins/books/51/,"Barrow Clump is located on the Salisbury Plain Training Area, within Figheldean parish, approximately 6km north-east of Stonehenge. The excavated cemetery features included 70 inhumation graves and one possible cremation-related deposit. The majority of graves cut into the natural geology, or in the remaining cases, into the upper fills of the early Bronze Age barrow ditch.",Multi-period,Radiocarbon
Swan Carr,-1.51,54.63,https://doi.org/10.1038/s41467-024-55757-y,High-precision radiocarbon measurements on single known-age tree-rings to provide calibration data for the first millennium BC,Iron Age,Radiocarbon
"Arhntal, Moaralm",12.08,47.03,https://doi.org/10.1038/s41467-024-55757-y,High-precision radiocarbon measurements on single known-age tree-rings to provide calibration data for the first millennium BC,Iron Age,Radiocarbon
"Kaunertal, Ombrometer",10.72,46.88,https://doi.org/10.1038/s41467-024-55757-y,High-precision radiocarbon measurements on single known-age tree-rings to provide calibration data for the first millennium BC,Iron Age,Radiocarbon
"Kaunertal, Gepatschferner",10.73,46.87,https://doi.org/10.1038/s41467-024-55757-y,High-precision radiocarbon measurements on single known-age tree-rings to provide calibration data for the first millennium BC,Iron Age,Radiocarbon
"Defereggental, Hirschbichl",12.25,46.9,https://doi.org/10.1038/s41467-024-55757-y,High-precision radiocarbon measurements on single known-age tree-rings to provide calibration data for the first millennium BC,Iron Age,Radiocarbon
"Langtaufers, Sandbichl",10.7,46.82,https://doi.org/10.1038/s41467-024-55757-y,High-precision radiocarbon measurements on single known-age tree-rings to provide calibration data for the first millennium BC,Iron Age,Radiocarbon
"Zillertal, Schwarzensteinmoor",11.82,47.02,https://doi.org/10.1038/s41467-024-55757-y,High-precision radiocarbon measurements on single known-age tree-rings to provide calibration data for the first millennium BC,Iron Age,Radiocarbon
"Passeier, Timmeltal",11.13,46.9,https://doi.org/10.1038/s41467-024-55757-y,High-precision radiocarbon measurements on single known-age tree-rings to provide calibration data for the first millennium BC,Iron Age,Radiocarbon
"Lesachtal, Wildsenderbach",12.78,46.73,https://doi.org/10.1038/s41467-024-55757-y,High-precision radiocarbon measurements on single known-age tree-rings to provide calibration data for the first millennium BC,Iron Age,Radiocarbon
"Mitterberg, Vorderkeil",13.15,47.4,https://doi.org/10.1038/s41467-024-55757-y,High-precision radiocarbon measurements on single known-age tree-rings to provide calibration data for the first millennium BC,Iron Age,Radiocarbon
Nowe Objezierze,14.33,51.93,https://doi.org/10.1080/00934690.2024.2306433,Chronological modelling of the rondel,Neolithic,Radiocarbon    
Ramsgate: Cliffs End Farm,1.42,51.34,http://dx.doi.org/10.1016/j.jas.2021.105528,Examination of marine reservoir effects using radiocarbon measurements on absorbed lipids in pottery sherds,Bronze Age,Radiocarbon
Ripon Cathedral,-1.52,54.14,https://historicengland.org.uk/research/results/reports/73-2014,Dendrochronology and radiocarbon wiggle-matching of timbers from the nave roof,Modern,"Radiocarbon, Dendrochronology"
